id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	$\alpha{-}cells$|$\alpha{-}cells$	$\alpha{-}cells$|$\beta{-}cells$	$\alpha{-}cells$|$\delta{-}cells$	$\alpha{-}cells$|Acinar cells	$\alpha{-}cells$|Ductal cells	$\alpha{-}cells$|PP cells	$\alpha{-}cells$|Stellate cells	$\beta{-}cells$|$\alpha{-}cells$	$\beta{-}cells$|$\beta{-}cells$	$\beta{-}cells$|$\delta{-}cells$	$\beta{-}cells$|Acinar cells	$\beta{-}cells$|Ductal cells	$\beta{-}cells$|PP cells	$\beta{-}cells$|Stellate cells	$\delta{-}cells$|$\alpha{-}cells$	$\delta{-}cells$|$\beta{-}cells$	$\delta{-}cells$|$\delta{-}cells$	$\delta{-}cells$|Acinar cells	$\delta{-}cells$|Ductal cells	$\delta{-}cells$|PP cells	$\delta{-}cells$|Stellate cells	Acinar cells|$\alpha{-}cells$	Acinar cells|$\beta{-}cells$	Acinar cells|$\delta{-}cells$	Acinar cells|Acinar cells	Acinar cells|Ductal cells	Acinar cells|PP cells	Acinar cells|Stellate cells	Ductal cells|$\alpha{-}cells$	Ductal cells|$\beta{-}cells$	Ductal cells|$\delta{-}cells$	Ductal cells|Acinar cells	Ductal cells|Ductal cells	Ductal cells|PP cells	Ductal cells|Stellate cells	PP cells|$\alpha{-}cells$	PP cells|$\beta{-}cells$	PP cells|$\delta{-}cells$	PP cells|Acinar cells	PP cells|Ductal cells	PP cells|PP cells	PP cells|Stellate cells	Stellate cells|$\alpha{-}cells$	Stellate cells|$\beta{-}cells$	Stellate cells|$\delta{-}cells$	Stellate cells|Acinar cells	Stellate cells|Ductal cells	Stellate cells|PP cells	Stellate cells|Stellate cells
CPI-SS01E0F2D2C	NECTIN1_NECTIN4	simple:Q15223	simple:Q96NY8	ENSG00000110400	ENSG00000143217	True	True	True	curated	False	0.919	0.829	0.547	0.0	0.0	0.717	0.655	1.0	1.0	0.94	0.0	0.0	1.0	0.979	0.517	0.568	0.397	0.0	0.0	0.559	0.598	1.0	1.0	0.97	0.0	0.0	1.0	0.979	1.0	1.0	0.97	0.0	0.0	0.97	1.0	0.97	1.0	0.91	0.0	0.0	1.0	0.949	1.0	1.0	0.97	0.0	0.0	1.0	1.0
CPI-SS0A5DF05C0	TIGIT_NECTIN2	simple:Q495A1	simple:Q92692	ENSG00000181847	ENSG00000130202	False	False	True	curated	False	0.475	1.0	0.979	0.0	0.0	0.778	0.706	0.433	0.97	0.979	0.0	0.0	0.778	0.706	0.505	1.0	0.979	0.0	0.0	0.778	0.706	0.475	1.0	0.979	0.0	0.0	0.778	0.706	0.373	1.0	0.979	0.0	0.0	0.718	0.676	0.411	1.0	0.979	0.0	0.0	0.778	0.685	0.496	1.0	0.979	0.0	0.0	0.778	0.706
CPI-SS06207F70E	CD226_NECTIN2	simple:Q15762	simple:Q92692	ENSG00000150637	ENSG00000130202	False	True	True	curated	False	0.505	1.0	0.979	0.0	0.0	0.778	0.757	0.3	0.97	0.979	0.0	0.0	0.688	0.625	0.21	0.97	0.979	0.0	0.0	0.718	0.685	0.492	0.97	0.979	0.0	0.0	0.778	0.685	0.462	0.97	0.979	0.0	0.0	0.778	0.706	0.484	0.97	0.979	0.0	0.0	0.778	0.736	0.462	0.97	0.979	0.0	0.0	0.688	0.655
CPI-SS0CC5DCE80	CDH1_KLRG1	simple:P12830	simple:Q96E93	ENSG00000039068	ENSG00000139187	False	False	True	curated	False	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS03DA2A820	FGF2_CD44	simple:P09038	simple:P16070	ENSG00000138685	ENSG00000026508	True	False	True	I2D,InnateDB-All	False	0.949	1.0	1.0	0.0	0.0	0.88	1.0	0.928	1.0	1.0	0.0	0.0	0.88	1.0	0.949	1.0	1.0	0.0	0.0	0.88	1.0	0.598	1.0	1.0	0.0	0.0	0.828	1.0	0.487	1.0	1.0	0.0	0.0	0.747	0.979	0.949	1.0	1.0	0.0	0.0	0.88	1.0	0.658	1.0	1.0	0.0	0.0	0.82	1.0
CPI-SS02AB0C3E0	SPP1_CD44	simple:P10451	simple:P16070	ENSG00000118785	ENSG00000026508	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.637	1.0	1.0	0.0	0.0	0.85	0.97	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.27	0.97	1.0	0.0	0.0	0.411	0.826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.697	1.0	1.0	0.0	0.0	0.85	0.949
CPI-SS03722104E	HGF_CD44	simple:P14210	simple:P16070	ENSG00000019991	ENSG00000026508	True	False	True	IMEx,InnateDB-All,IntAct	False	0.898	1.0	1.0	0.0	0.0	0.88	1.0	0.928	1.0	1.0	0.0	0.0	0.88	1.0	0.928	1.0	1.0	0.0	0.0	0.88	1.0	0.898	1.0	1.0	0.0	0.0	0.88	1.0	0.928	1.0	1.0	0.0	0.0	0.88	1.0	0.898	1.0	1.0	0.0	0.0	0.88	1.0	0.898	1.0	1.0	0.0	0.0	0.88	1.0
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	ENSG00000138685	ENSG00000077782	True	False	True	curated	False	0.0	1.0	0.021	0.12	1.0	0.0	0.949	0.0	1.0	0.021	0.12	1.0	0.0	0.949	0.06	1.0	0.021	0.15	1.0	0.0	0.949	0.0	1.0	0.021	0.09	1.0	0.0	0.949	0.0	1.0	0.021	0.09	1.0	0.0	0.889	0.06	1.0	0.021	0.12	1.0	0.0	0.949	0.0	1.0	0.021	0.09	1.0	0.0	0.919
CPI-SS0467AFD8A	FGF17_FGFR1	simple:O60258	simple:P11362	ENSG00000158815	ENSG00000077782	True	False	True	I2D,InnateDB-All	False	0.0	1.0	0.021	0.12	1.0	0.0	0.919	0.0	1.0	0.021	0.12	1.0	0.0	0.949	0.0	1.0	0.021	0.15	1.0	0.0	0.919	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.06	1.0	0.021	0.15	1.0	0.0	0.97	0.0	1.0	0.021	0.12	1.0	0.0	0.919	0.03	1.0	0.021	0.15	1.0	0.0	0.949
CPI-SS0F2C6A4D4	FGF18_FGFR1	simple:O76093	simple:P11362	ENSG00000156427	ENSG00000077782	True	False	True	I2D	False	0.0	1.0	0.021	0.12	1.0	0.0	0.949	0.0	1.0	0.021	0.12	1.0	0.0	0.949	0.0	1.0	0.021	0.12	1.0	0.0	0.949	0.0	1.0	0.021	0.12	1.0	0.0	0.949	0.0	1.0	0.021	0.12	1.0	0.0	0.919	0.0	1.0	0.021	0.12	1.0	0.0	0.949	0.0	1.0	0.021	0.12	1.0	0.0	0.919
CPI-SS03189F5F6	FGF10_FGFR1	simple:O15520	simple:P11362	ENSG00000070193	ENSG00000077782	True	False	True	InnateDB-All	False	0.0	1.0	0.021	0.12	1.0	0.0	0.949	0.0	1.0	0.021	0.12	1.0	0.0	0.949	0.0	1.0	0.021	0.12	1.0	0.0	0.949	0.0	1.0	0.021	0.09	1.0	0.0	0.919	0.0	1.0	0.021	0.12	1.0	0.0	0.949	0.0	1.0	0.021	0.12	1.0	0.0	0.949	0.0	1.0	0.021	0.15	1.0	0.0	0.949
CPI-SS05A94DE17	FGF2_FGFR2	simple:P09038	simple:P21802	ENSG00000138685	ENSG00000066468	True	False	True	curated	False	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.91	0.94	0.0	0.897	0.949	1.0	1.0	0.919	1.0	0.0	0.829	1.0	0.081	0.111	0.201	0.201	0.0	0.171	0.252	0.0	0.0	0.0	0.201	0.0	0.081	0.081	1.0	1.0	0.949	1.0	0.0	0.859	1.0	0.111	0.081	0.231	0.261	0.0	0.162	0.265
CPI-SS06B86672A	CD44_FGFR2	simple:P16070	simple:P21802	ENSG00000026508	ENSG00000066468	True	True	True	InnateDB-All	False	0.949	0.949	0.958	0.928	0.0	0.919	0.928	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.88	0.88	0.91	0.111	0.88	0.88	1.0	1.0	1.0	1.0	0.877	1.0	1.0
CPI-SS0330D939A	FGF17_FGFR2	simple:O60258	simple:P21802	ENSG00000158815	ENSG00000066468	True	False	True	I2D,InnateDB-All	False	1.0	0.829	0.453	0.796	0.0	0.666	0.748	1.0	1.0	0.919	0.97	0.0	0.889	0.97	0.628	0.637	0.402	0.544	0.0	0.564	0.577	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.97	0.889	0.577	0.676	0.0	0.739	0.739	1.0	0.979	0.919	1.0	0.0	0.868	1.0
CPI-SS0F6A7A4DF	FGF18_FGFR2	simple:O76093	simple:P21802	ENSG00000156427	ENSG00000066468	True	False	True	I2D	False	1.0	0.97	0.636	1.0	0.0	0.666	1.0	1.0	0.97	0.91	1.0	0.0	0.867	1.0	1.0	0.97	0.757	0.97	0.0	0.748	0.949	1.0	0.97	0.697	0.97	0.0	0.808	0.97	1.0	0.97	0.684	1.0	0.0	0.696	0.919	1.0	0.949	0.547	0.958	0.0	0.718	0.898	0.958	0.739	0.393	0.544	0.0	0.585	0.607
CPI-SS02FEAF02E	FGF5_FGFR2	simple:P12034	simple:P21802	ENSG00000138675	ENSG00000066468	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	1.0	0.97	0.646	1.0	0.0	0.696	1.0	1.0	0.97	0.859	1.0	0.0	0.867	1.0	1.0	1.0	0.79	1.0	0.0	0.696	1.0	1.0	0.97	0.868	1.0	0.0	0.756	1.0	1.0	0.97	0.808	1.0	0.0	0.666	1.0	1.0	0.97	0.757	1.0	0.0	0.777	1.0	0.949	0.739	0.423	0.514	0.0	0.615	0.577
CPI-SS0E928B8C8	FGF7_FGFR2	simple:P21781	simple:P21802	ENSG00000140285	ENSG00000066468	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	1.0	0.97	0.919	1.0	0.0	0.97	1.0	1.0	1.0	0.868	1.0	0.0	0.816	1.0	1.0	0.97	0.766	1.0	0.0	0.666	0.979	0.03	0.03	0.09	0.171	0.0	0.06	0.132	1.0	0.97	0.697	1.0	0.0	0.778	1.0	1.0	0.949	0.658	1.0	0.0	0.717	0.94	0.132	0.132	0.111	0.141	0.0	0.081	0.183
CPI-SS0AECC113F	FGF10_FGFR2	simple:O15520	simple:P21802	ENSG00000070193	ENSG00000066468	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	1.0	0.97	0.97	1.0	0.0	0.88	1.0	1.0	1.0	0.817	1.0	0.0	0.867	1.0	1.0	0.97	0.808	1.0	0.0	0.829	1.0	0.03	0.0	0.0	0.141	0.0	0.051	0.051	1.0	0.97	0.718	1.0	0.0	0.807	1.0	1.0	1.0	0.667	1.0	0.0	0.636	0.97	1.0	0.97	0.919	1.0	0.0	0.778	1.0
CPI-SS0735F5C3A	TIMP1_FGFR2	simple:P01033	simple:P21802	ENSG00000102265	ENSG00000066468	True	False	True	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.97	1.0	1.0	0.205	0.205	0.205	0.205	0.051	0.205	0.226	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.291	0.291	0.231	0.291	0.0	0.231	0.261	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS04640F9C3	TFF1_FGFR2	simple:P04155	simple:P21802	ENSG00000160182	ENSG00000066468	True	False	True	IMEx,InnateDB-All,MINT	False	1.0	0.97	0.616	0.97	0.0	0.666	0.94	1.0	0.97	0.76	1.0	0.0	0.829	0.94	0.919	0.778	0.423	0.634	0.0	0.606	0.607	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.646	0.504	0.321	0.394	0.0	0.504	0.577	1.0	1.0	0.97	1.0	0.0	1.0	0.97
CPI-SS0348DB5E3	FGFR1_FGFR2	simple:P11362	simple:P21802	ENSG00000077782	ENSG00000066468	True	True	True	InnateDB-All	False	0.081	0.09	0.03	0.12	0.0	0.06	0.133	1.0	1.0	1.0	1.0	0.949	1.0	1.0	0.021	0.021	0.021	0.021	0.0	0.021	0.021	0.15	0.15	0.15	0.12	0.03	0.15	0.15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.949	0.949	0.97	0.949	0.333	0.949	0.949
CPI-SS0D636A374	FGF2_FGFR3	simple:P09038	simple:P22607	ENSG00000138685	ENSG00000068078	True	False	True	curated	False	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
CPI-SS0BC9F7E9E	FGF17_FGFR3	simple:O60258	simple:P22607	ENSG00000158815	ENSG00000068078	True	False	True	I2D	False	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
CPI-SS0E134097C	FGF18_FGFR3	simple:O76093	simple:P22607	ENSG00000156427	ENSG00000068078	True	False	True	I2D	False	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
CPI-SS076D8A297	FGF5_FGFR3	simple:P12034	simple:P22607	ENSG00000138675	ENSG00000068078	True	False	True	I2D	False	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
CPI-SS00E68BB92	FGF7_FGFR3	simple:P21781	simple:P22607	ENSG00000140285	ENSG00000068078	True	False	True	I2D	False	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
CPI-SS0BF3ED143	FGFR2_FGFR3	simple:P21802	simple:P22607	ENSG00000066468	ENSG00000068078	True	True	True	IMEx,InnateDB-All	False	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
CPI-SS0C1BD22BC	SPP1_PTGER4	simple:P10451	simple:P35408	ENSG00000118785	ENSG00000171522	True	False	True	IMEx,MINT	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.193	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.15	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.496	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS085EE60B1	TGFB1_TGFBR3	simple:P01137	simple:Q03167	ENSG00000105329	ENSG00000069702	True	False	True	curated	False	1.0	0.0	0.0	0.94	1.0	1.0	0.958	1.0	0.0	0.03	0.91	1.0	1.0	0.907	1.0	0.0	0.081	0.94	1.0	1.0	0.979	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.06	0.97	1.0	1.0	0.979	1.0	0.0	0.03	0.88	1.0	1.0	0.97	1.0	0.0	0.0	0.466	1.0	1.0	0.565
CPI-SS0FB37E079	INHA_TGFBR3	simple:P05111	simple:Q03167	ENSG00000123999	ENSG00000069702	True	False	True	I2D	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.505	0.0	0.0	0.313	1.0	1.0	0.141	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0D46E2B45	TGFB3_TGFBR3	simple:P10600	simple:Q03167	ENSG00000119699	ENSG00000069702	True	False	True	curated	False	1.0	0.0	0.03	0.97	1.0	1.0	0.979	1.0	0.0	0.03	1.0	1.0	1.0	1.0	1.0	0.0	0.09	0.94	1.0	1.0	0.958	1.0	0.0	0.0	0.94	1.0	1.0	0.928	1.0	0.0	0.03	0.859	1.0	1.0	0.907	1.0	0.0	0.051	0.94	1.0	1.0	0.979	0.0	0.0	0.0	0.0	1.0	1.0	0.0
CPI-SS0178F5C45	TGFB2_TGFBR3	simple:P61812	simple:Q03167	ENSG00000092969	ENSG00000069702	True	False	True	curated	False	1.0	0.0	0.03	0.97	1.0	1.0	0.979	1.0	0.0	0.03	1.0	1.0	1.0	0.979	1.0	0.0	0.03	0.94	1.0	1.0	0.949	1.0	0.0	0.03	0.94	1.0	1.0	0.928	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.06	0.97	1.0	1.0	0.979	1.0	0.0	0.0	0.838	1.0	1.0	0.907
CPI-SS0ACD487F0	L1CAM_L1CAM	simple:P32004	simple:P32004	ENSG00000198910	ENSG00000198910	False	False	False	curated	False	0.0	0.222	0.658	1.0	1.0	0.0	0.514	0.222	0.94	1.0	1.0	1.0	0.111	0.979	0.658	1.0	0.97	1.0	1.0	0.333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.79	1.0	0.0	0.111	0.333	1.0	0.79	0.09	0.342	0.514	0.979	1.0	1.0	1.0	0.342	0.877
CPI-SS087B53ABF	JAM2_JAM3	simple:P57087	simple:Q9BX67	ENSG00000154721	ENSG00000166086	True	False	False	curated	False	1.0	0.231	0.03	1.0	1.0	0.736	0.0	1.0	0.141	0.03	1.0	1.0	0.603	0.0	1.0	0.09	0.021	1.0	1.0	0.715	0.0	0.97	0.222	0.021	1.0	1.0	0.714	0.0	1.0	0.132	0.021	1.0	1.0	0.663	0.0	0.544	0.0	0.0	1.0	1.0	0.291	0.0	0.0	0.0	0.0	0.727	0.808	0.03	0.0
CPI-SS0F9D53834	JAM3_JAM3	simple:Q9BX67	simple:Q9BX67	ENSG00000166086	ENSG00000166086	True	False	False	curated	False	1.0	0.598	0.051	1.0	1.0	0.928	0.0	0.598	0.06	0.0	1.0	1.0	0.381	0.0	0.051	0.0	0.0	0.628	0.718	0.03	0.0	1.0	1.0	0.628	1.0	1.0	1.0	0.0	1.0	1.0	0.718	1.0	1.0	1.0	0.0	0.928	0.381	0.03	1.0	1.0	0.634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
