id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	$\alpha{-}cells$|$\alpha{-}cells$	$\alpha{-}cells$|$\beta{-}cells$	$\alpha{-}cells$|$\delta{-}cells$	$\alpha{-}cells$|Acinar cells	$\alpha{-}cells$|Ductal cells	$\alpha{-}cells$|PP cells	$\alpha{-}cells$|Stellate cells	$\beta{-}cells$|$\alpha{-}cells$	$\beta{-}cells$|$\beta{-}cells$	$\beta{-}cells$|$\delta{-}cells$	$\beta{-}cells$|Acinar cells	$\beta{-}cells$|Ductal cells	$\beta{-}cells$|PP cells	$\beta{-}cells$|Stellate cells	$\delta{-}cells$|$\alpha{-}cells$	$\delta{-}cells$|$\beta{-}cells$	$\delta{-}cells$|$\delta{-}cells$	$\delta{-}cells$|Acinar cells	$\delta{-}cells$|Ductal cells	$\delta{-}cells$|PP cells	$\delta{-}cells$|Stellate cells	Acinar cells|$\alpha{-}cells$	Acinar cells|$\beta{-}cells$	Acinar cells|$\delta{-}cells$	Acinar cells|Acinar cells	Acinar cells|Ductal cells	Acinar cells|PP cells	Acinar cells|Stellate cells	Ductal cells|$\alpha{-}cells$	Ductal cells|$\beta{-}cells$	Ductal cells|$\delta{-}cells$	Ductal cells|Acinar cells	Ductal cells|Ductal cells	Ductal cells|PP cells	Ductal cells|Stellate cells	PP cells|$\alpha{-}cells$	PP cells|$\beta{-}cells$	PP cells|$\delta{-}cells$	PP cells|Acinar cells	PP cells|Ductal cells	PP cells|PP cells	PP cells|Stellate cells	Stellate cells|$\alpha{-}cells$	Stellate cells|$\beta{-}cells$	Stellate cells|$\delta{-}cells$	Stellate cells|Acinar cells	Stellate cells|Ductal cells	Stellate cells|PP cells	Stellate cells|Stellate cells
CPI-SS01E0F2D2C	NECTIN1_NECTIN4	simple:Q15223	simple:Q96NY8	ENSG00000110400	ENSG00000143217	True	True	True	curated	False	1.0	1.0	0.94	0.0	0.0	1.0	0.838	0.94	1.0	0.889	0.0	0.0	0.949	0.778	1.0	1.0	1.0	0.0	0.0	1.0	0.97	1.0	1.0	0.94	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.453	0.454	0.334	0.0	0.0	0.568	0.423	1.0	1.0	1.0	0.021	0.0	1.0	1.0
CPI-SS0A5DF05C0	TIGIT_NECTIN2	simple:Q495A1	simple:Q92692	ENSG00000181847	ENSG00000130202	False	False	True	curated	False	1.0	1.0	0.859	0.0	0.0	1.0	0.072	1.0	1.0	0.837	0.0	0.0	1.0	0.072	1.0	1.0	0.808	0.0	0.0	1.0	0.072	1.0	1.0	0.859	0.0	0.0	1.0	0.072	1.0	1.0	0.837	0.0	0.0	1.0	0.072	0.97	0.979	0.756	0.0	0.0	1.0	0.072	1.0	1.0	0.837	0.0	0.0	1.0	0.072
CPI-SS06207F70E	CD226_NECTIN2	simple:Q15762	simple:Q92692	ENSG00000150637	ENSG00000130202	False	True	True	curated	False	1.0	1.0	0.837	0.0	0.0	1.0	0.072	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.97	1.0	0.756	0.0	0.0	1.0	0.072	0.97	1.0	0.786	0.0	0.0	1.0	0.072	1.0	1.0	0.786	0.0	0.0	1.0	0.072	1.0	0.979	0.756	0.0	0.0	1.0	0.072	1.0	1.0	0.859	0.0	0.0	1.0	0.072
CPI-SS0CC5DCE80	CDH1_KLRG1	simple:P12830	simple:Q96E93	ENSG00000039068	ENSG00000139187	False	False	True	curated	False	0.231	0.261	0.21	1.0	0.282	0.312	0.03	1.0	1.0	1.0	1.0	1.0	1.0	0.949	0.88	0.88	0.88	1.0	0.88	0.88	0.82	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS03DA2A820	FGF2_CD44	simple:P09038	simple:P16070	ENSG00000138685	ENSG00000026508	True	False	True	I2D,InnateDB-All	False	1.0	1.0	0.769	0.0	0.0	0.03	0.282	1.0	1.0	0.739	0.0	0.0	0.03	0.282	1.0	1.0	0.769	0.0	0.0	0.03	0.282	1.0	1.0	0.769	0.0	0.0	0.03	0.312	0.868	1.0	0.589	0.0	0.0	0.0	0.222	1.0	1.0	0.739	0.0	0.0	0.03	0.282	0.171	1.0	0.436	0.0	0.0	0.0	0.102
CPI-SS02AB0C3E0	SPP1_CD44	simple:P10451	simple:P16070	ENSG00000118785	ENSG00000026508	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.646	1.0	0.508	0.0	0.0	0.0	0.132	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.495	1.0	0.487	0.0	0.0	0.09	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.312	1.0	0.364	0.0	0.0	0.03	0.252
CPI-SS03722104E	HGF_CD44	simple:P14210	simple:P16070	ENSG00000019991	ENSG00000026508	True	False	True	IMEx,InnateDB-All,IntAct	False	1.0	1.0	0.739	0.0	0.0	0.03	0.282	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.739	0.0	0.0	0.03	0.282	1.0	1.0	0.799	0.0	0.0	0.03	0.282	1.0	1.0	0.739	0.0	0.0	0.03	0.282	1.0	1.0	0.739	0.0	0.0	0.03	0.282	1.0	1.0	0.769	0.0	0.0	0.03	0.282
CPI-SS008FB916C	FGF2_FGFR4	simple:P09038	simple:P22455	ENSG00000138685	ENSG00000160867	True	False	True	curated	False	0.132	1.0	1.0	0.03	0.0	1.0	0.816	0.154	1.0	1.0	0.0	0.0	1.0	0.837	0.225	1.0	1.0	0.0	0.0	1.0	0.807	0.171	1.0	0.97	0.03	0.0	1.0	0.786	0.0	0.0	0.081	0.0	0.0	0.735	0.231	0.304	1.0	0.97	0.0	0.0	1.0	0.897	0.0	0.0	0.0	0.0	0.0	0.0	0.06
CPI-SS0D9366D11	FGF1_FGFR4	simple:P05230	simple:P22455	ENSG00000113578	ENSG00000160867	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.03	1.0	0.91	0.0	0.0	1.0	0.624
CPI-SS044CF7EAE	TNFRSF10A_FGFR4	simple:O00220	simple:P22455	ENSG00000104689	ENSG00000160867	True	True	True	InnateDB-All	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.03	0.333	0.474	0.0	0.0	0.979	0.462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0AC594A8E	FGF17_FGFR4	simple:O60258	simple:P22455	ENSG00000158815	ENSG00000160867	True	False	True	I2D	False	0.0	1.0	0.97	0.0	0.0	1.0	0.756	0.0	1.0	1.0	0.0	0.0	1.0	0.714	0.0	1.0	0.94	0.0	0.0	1.0	0.624	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.03	1.0	0.97	0.0	0.0	1.0	0.777	0.0	1.0	0.838	0.0	0.0	1.0	0.573	0.09	1.0	0.97	0.0	0.0	1.0	0.846
CPI-SS0D4CA5D92	FGF18_FGFR4	simple:O76093	simple:P22455	ENSG00000156427	ENSG00000160867	True	False	True	I2D	False	0.0	1.0	0.94	0.0	0.0	1.0	0.705	0.0	1.0	1.0	0.0	0.0	1.0	0.756	0.0	1.0	0.94	0.0	0.0	1.0	0.603	0.111	1.0	0.97	0.0	0.0	1.0	0.735	0.0	1.0	0.859	0.0	0.0	1.0	0.603	0.0	1.0	0.97	0.0	0.0	1.0	0.735	0.081	1.0	1.0	0.03	0.0	1.0	0.765
CPI-SS066347638	FGF5_FGFR4	simple:P12034	simple:P22455	ENSG00000138675	ENSG00000160867	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.0	1.0	0.97	0.0	0.0	1.0	0.735	0.0	1.0	0.97	0.0	0.0	1.0	0.705	0.0	1.0	0.97	0.0	0.0	1.0	0.735	0.0	1.0	0.97	0.0	0.0	1.0	0.735	0.0	1.0	0.97	0.0	0.0	1.0	0.735	0.0	1.0	0.97	0.0	0.0	1.0	0.735	0.0	0.676	0.667	0.0	0.0	1.0	0.543
CPI-SS0D95D41D6	FGF7_FGFR4	simple:P21781	simple:P22455	ENSG00000140285	ENSG00000160867	True	False	True	I2D	False	0.0	1.0	0.97	0.0	0.0	1.0	0.735	0.0	1.0	0.94	0.0	0.0	1.0	0.705	0.102	1.0	0.97	0.0	0.0	1.0	0.786	0.051	1.0	0.97	0.0	0.0	1.0	0.735	0.0	1.0	1.0	0.0	0.0	1.0	0.735	0.0	1.0	0.889	0.0	0.0	1.0	0.603	0.0	0.505	0.637	0.0	0.0	1.0	0.453
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	ENSG00000138685	ENSG00000077782	True	False	True	curated	False	0.0	1.0	0.94	0.88	1.0	0.0	0.577	0.0	1.0	0.94	0.85	1.0	0.0	0.547	0.0	1.0	0.94	0.88	1.0	0.0	0.547	0.0	1.0	0.94	0.88	1.0	0.0	0.547	0.0	1.0	0.7	0.666	1.0	0.0	0.295	0.0	1.0	0.94	0.88	1.0	0.0	0.577	0.0	1.0	0.273	0.444	0.859	0.0	0.111
CPI-SS0755A26DD	FGF1_FGFR1	simple:P05230	simple:P11362	ENSG00000113578	ENSG00000077782	True	False	True	curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.94	0.82	1.0	0.0	0.517
CPI-SS0467AFD8A	FGF17_FGFR1	simple:O60258	simple:P11362	ENSG00000158815	ENSG00000077782	True	False	True	I2D,InnateDB-All	False	0.0	1.0	0.94	0.85	1.0	0.0	0.547	0.0	1.0	0.94	0.85	1.0	0.0	0.547	0.0	1.0	0.94	0.85	1.0	0.0	0.547	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.94	0.85	1.0	0.0	0.577	0.0	1.0	0.94	0.82	1.0	0.0	0.517	0.0	1.0	0.94	0.88	1.0	0.0	0.547
CPI-SS0F2C6A4D4	FGF18_FGFR1	simple:O76093	simple:P11362	ENSG00000156427	ENSG00000077782	True	False	True	I2D	False	0.0	1.0	0.94	0.85	1.0	0.0	0.547	0.0	1.0	0.94	0.88	1.0	0.0	0.547	0.0	1.0	0.94	0.82	1.0	0.0	0.547	0.0	1.0	0.94	0.85	1.0	0.0	0.577	0.0	1.0	0.94	0.82	1.0	0.0	0.517	0.0	1.0	0.94	0.85	1.0	0.0	0.547	0.0	1.0	0.94	0.85	1.0	0.0	0.547
CPI-SS03189F5F6	FGF10_FGFR1	simple:O15520	simple:P11362	ENSG00000070193	ENSG00000077782	True	False	True	InnateDB-All	False	0.0	1.0	0.94	0.85	1.0	0.0	0.547	0.0	1.0	0.94	0.85	1.0	0.0	0.547	0.0	1.0	0.94	0.85	1.0	0.0	0.547	0.0	1.0	0.94	0.85	1.0	0.0	0.547	0.0	1.0	0.94	0.85	1.0	0.0	0.547	0.0	1.0	0.94	0.85	1.0	0.0	0.547	0.0	1.0	0.94	0.85	1.0	0.0	0.547
CPI-SS05A94DE17	FGF2_FGFR2	simple:P09038	simple:P21802	ENSG00000138685	ENSG00000066468	True	False	True	curated	False	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.97	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.978	1.0	1.0	1.0	1.0	1.0	0.0	0.958	1.0	0.0	0.0	0.0	0.03	0.0	0.0	0.111	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS04A97448D	FGF1_FGFR2	simple:P05230	simple:P21802	ENSG00000113578	ENSG00000066468	True	False	True	I2D,IMEx,InnateDB-All,IntAct,MINT	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.555	0.709	0.364	0.384	0.0	0.402	0.393
CPI-SS06B86672A	CD44_FGFR2	simple:P16070	simple:P21802	ENSG00000026508	ENSG00000066468	True	True	True	InnateDB-All	False	1.0	1.0	1.0	1.0	0.273	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.769	0.799	0.799	0.769	0.436	0.769	0.829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06	0.06	0.0	0.03	0.06	0.282	0.282	0.282	0.282	0.102	0.282	0.312
CPI-SS0330D939A	FGF17_FGFR2	simple:O60258	simple:P21802	ENSG00000158815	ENSG00000066468	True	False	True	I2D,InnateDB-All	False	1.0	1.0	0.868	1.0	0.0	0.97	0.919	1.0	1.0	0.838	1.0	0.0	0.936	0.898	0.79	0.94	0.544	0.598	0.0	0.667	0.385	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.958	1.0	0.312	0.487	0.292	0.222	0.0	0.3	0.261	1.0	1.0	1.0	1.0	0.0	0.936	1.0
CPI-SS0F6A7A4DF	FGF18_FGFR2	simple:O76093	simple:P21802	ENSG00000156427	ENSG00000066468	True	False	True	I2D	False	1.0	0.97	0.736	0.919	0.0	0.876	0.735	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.91	0.94	0.535	0.547	0.0	0.624	0.414	1.0	1.0	0.889	0.97	0.0	0.898	0.868	0.714	0.829	0.382	0.432	0.0	0.462	0.321	1.0	1.0	0.94	1.0	0.0	0.979	0.859	1.0	1.0	1.0	1.0	0.0	0.979	0.949
CPI-SS02FEAF02E	FGF5_FGFR2	simple:P12034	simple:P21802	ENSG00000138675	ENSG00000066468	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	1.0	1.0	1.0	1.0	0.0	0.958	1.0	1.0	1.0	0.859	1.0	0.0	0.918	0.807	1.0	1.0	0.97	1.0	0.0	0.936	1.0	1.0	1.0	0.97	1.0	0.0	0.936	1.0	1.0	1.0	0.97	1.0	0.0	0.936	1.0	1.0	1.0	0.97	1.0	0.0	0.936	1.0	0.06	0.052	0.082	0.162	0.0	0.06	0.171
CPI-SS0E928B8C8	FGF7_FGFR2	simple:P21781	simple:P21802	ENSG00000140285	ENSG00000066468	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	1.0	1.0	1.0	1.0	0.0	0.979	0.97	1.0	0.97	0.766	0.907	0.0	0.834	0.804	1.0	1.0	0.91	1.0	0.0	0.978	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.97	1.0	0.0	0.957	1.0	0.837	0.91	0.493	0.504	0.0	0.573	0.351	0.102	0.102	0.073	0.132	0.0	0.0	0.162
CPI-SS0AECC113F	FGF10_FGFR2	simple:O15520	simple:P21802	ENSG00000070193	ENSG00000066468	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	1.0	1.0	0.91	1.0	0.0	0.936	1.0	1.0	1.0	0.97	1.0	0.0	0.936	1.0	1.0	1.0	0.85	1.0	0.0	0.936	0.94	1.0	0.97	0.472	0.577	0.0	0.693	0.432	1.0	1.0	0.97	1.0	0.0	0.936	1.0	1.0	1.0	0.859	1.0	0.0	0.936	0.949	1.0	1.0	0.97	1.0	0.0	0.936	0.979
CPI-SS0735F5C3A	TIMP1_FGFR2	simple:P01033	simple:P21802	ENSG00000102265	ENSG00000066468	True	False	True	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.132	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.282	0.282	0.222	0.252	0.0	0.252	0.312	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS04640F9C3	TFF1_FGFR2	simple:P04155	simple:P21802	ENSG00000160182	ENSG00000066468	True	False	True	IMEx,InnateDB-All,MINT	False	1.0	1.0	0.97	1.0	0.0	0.957	0.897	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.88	0.94	0.523	0.616	0.0	0.685	0.604	1.0	1.0	1.0	1.0	0.03	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.838	0.94	0.505	0.564	0.0	0.684	0.594	1.0	1.0	1.0	1.0	0.021	1.0	0.94
CPI-SS0348DB5E3	FGFR1_FGFR2	simple:P11362	simple:P21802	ENSG00000077782	ENSG00000066468	True	True	True	InnateDB-All	False	0.0	0.0	0.0	0.03	0.0	0.0	0.051	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.94	0.94	0.94	0.94	0.243	0.94	0.94	0.88	0.88	0.85	0.88	0.465	0.88	0.88	1.0	1.0	1.0	1.0	0.859	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.577	0.547	0.547	0.102	0.547	0.577
CPI-SS0D636A374	FGF2_FGFR3	simple:P09038	simple:P22607	ENSG00000138685	ENSG00000068078	True	False	True	curated	False	1.0	1.0	1.0	0.214	0.0	1.0	1.0	1.0	1.0	1.0	0.226	0.0	1.0	1.0	1.0	1.0	1.0	0.375	0.0	1.0	1.0	1.0	1.0	1.0	0.244	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.385	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
CPI-SS015819E65	FGF1_FGFR3	simple:P05230	simple:P22607	ENSG00000113578	ENSG00000068078	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.03	0.0	1.0	1.0
CPI-SS0BC9F7E9E	FGF17_FGFR3	simple:O60258	simple:P22607	ENSG00000158815	ENSG00000068078	True	False	True	I2D	False	1.0	1.0	1.0	0.022	0.0	1.0	1.0	1.0	1.0	1.0	0.111	0.0	1.0	1.0	1.0	1.0	1.0	0.022	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.184	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.18	0.0	1.0	1.0
CPI-SS0E134097C	FGF18_FGFR3	simple:O76093	simple:P22607	ENSG00000156427	ENSG00000068078	True	False	True	I2D	False	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.154	0.0	1.0	1.0	1.0	1.0	1.0	0.021	0.0	1.0	1.0	1.0	1.0	1.0	0.163	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.052	0.0	1.0	1.0	1.0	1.0	1.0	0.172	0.0	1.0	1.0
CPI-SS076D8A297	FGF5_FGFR3	simple:P12034	simple:P22607	ENSG00000138675	ENSG00000068078	True	False	True	I2D	False	1.0	1.0	1.0	0.052	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.03	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.06	0.0	1.0	1.0	1.0	1.0	1.0	0.06	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
